exp_name,date,refreshrate(hz),screenresolutionvert(pixels),screenresolutionhori(pixels),screenwidth(cm),eccentricity,Stim_size,left-handed,age,gender,participant,language,TrialNumber,bgori,temp,staircase,targetloc,cond,ran,order,resp,rt,acc,contrast
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,45,0,0,1,1,2,1.0,44.0,1.0,0.7801755,1.0,0.06911010412134794
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,46,0,0,2,0,2,1.0,45.0,0.0,0.7003838,1.0,0.17520762739864815
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,47,0,0,1,0,2,1.0,46.0,0.0,0.7935116,1.0,0.06775565667529103
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,48,0,0,2,1,2,1.0,47.0,1.0,0.6662766,1.0,0.17177383828087872
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,49,0,0,1,0,2,1.0,48.0,0.0,0.7635148,1.0,0.06642775423169728
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,50,0,0,2,1,2,1.0,49.0,1.0,0.789508,1.0,0.16840734593483328
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,51,0,0,2,1,2,1.0,50.0,1.0,0.7231582,1.0,0.1618710017702884
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,52,0,0,1,1,2,1.0,51.0,1.0,0.5587294,1.0,0.06384951358948564
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,53,0,0,2,1,2,1.0,52.0,1.0,0.7262971,1.0,0.15869858917265317
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,54,0,0,2,1,2,1.0,53.0,1.0,0.5440658,1.0,0.1555883507852197
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,55,0,0,1,0,2,1.0,54.0,1.0,1.4125676,0.0,0.06137134143349693
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,56,0,0,2,1,2,1.0,55.0,1.0,0.9610621,1.0,0.1555883507852197
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,57,0,0,2,1,2,1.0,56.0,1.0,0.6616431,1.0,0.15253906809296364
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,58,0,0,1,0,2,1.0,57.0,1.0,0.6444123,0.0,0.06911010412134794
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,59,0,0,2,1,2,1.0,58.0,1.0,0.8069461,1.0,0.15253906809296364
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,60,0,0,2,1,2,1.0,59.0,1.0,0.8411862,1.0,0.14954954646180463
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,61,0,0,1,0,2,1.0,60.0,1.0,0.8446172,0.0,0.07190076718541984
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,62,0,0,2,0,2,1.0,61.0,0.0,0.8553886,1.0,0.14954954646180463
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,63,0,0,2,1,2,1.0,62.0,1.0,0.7612212,1.0,0.14661861467057924
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,64,0,0,2,1,2,1.0,63.0,1.0,0.7113441,1.0,0.14661861467057924
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,65,0,0,2,1,2,1.0,64.0,1.0,0.6431576,1.0,0.14374512445218396
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,66,0,0,2,0,2,1.0,65.0,0.0,0.8796395,1.0,0.14092795004371353
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,67,0,0,2,0,2,1.0,66.0,0.0,1.6994565,1.0,0.13816598774541355
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,68,0,0,1,0,2,1.0,67.0,0.0,0.9034918,1.0,0.07629946451005658
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,69,0,0,2,0,2,1.0,68.0,0.0,1.0818963,1.0,0.1354581554882792
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,70,0,0,1,1,2,1.0,69.0,1.0,0.7441656,1.0,0.07629946451005658
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,71,0,0,2,0,2,1.0,70.0,1.0,0.7817496,0.0,0.1328033924101259
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,72,0,0,2,1,2,1.0,71.0,1.0,0.6858735,1.0,0.14661861467057924
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,73,0,0,1,0,2,1.0,72.0,1.0,0.7655989,0.0,0.07480411710528782
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,74,0,0,1,0,2,1.0,73.0,0.0,0.8073259,1.0,0.07938043364074708
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,75,0,0,1,0,2,1.0,74.0,0.0,1.2611378,1.0,0.0778247041713946
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,76,0,0,2,0,2,1.0,75.0,0.0,0.5757408,1.0,0.14374512445218396
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,77,0,0,1,1,2,1.0,76.0,1.0,0.8015449,1.0,0.0778247041713946
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,78,0,0,1,0,2,1.0,77.0,0.0,0.5913869,1.0,0.07629946451005658
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,79,0,0,2,1,2,1.0,78.0,1.0,0.5800382,1.0,0.14374512445218396
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,80,0,0,1,1,2,1.0,79.0,1.0,1.5404671,1.0,0.07480411710528782
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,81,361,0,2,0,3,1.0,80.0,1.0,2.168694,0.0,0.011410550312757525
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,82,361,0,1,1,3,1.0,81.0,1.0,2.7731726,1.0,0.011410550312757525
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,83,361,0,1,1,3,1.0,82.0,1.0,1.2010661,1.0,0.006956757690467928
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,84,361,0,2,1,3,1.0,83.0,1.0,1.0136858,1.0,0.03193728503137525
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,85,361,0,1,0,3,1.0,84.0,1.0,0.5491351,0.0,0.004682600487639664
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,86,361,0,1,1,3,1.0,85.0,1.0,0.6625738,1.0,0.012597562826699979
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,87,361,0,2,0,3,1.0,86.0,1.0,1.2309868,0.0,0.025185242205390552
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,88,361,0,1,0,3,1.0,87.0,1.0,0.5862469,0.0,0.00899818106145444
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,89,361,0,1,1,3,1.0,88.0,1.0,0.4774908,1.0,0.019471449418725976
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,90,361,0,1,0,3,1.0,89.0,1.0,0.6614434,0.0,0.01535487970310756
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,91,361,0,1,0,3,1.0,90.0,1.0,0.7114821,0.0,0.03131136535299098
